"Main_Headline","Date"
"Toyota will spend $1.3 billion on a N.C. electric car battery plant.","2021-12-06T19:40:03+0000"
"Toyota, lagging rivals, outlines plans to expand sales of electric vehicles.","2021-12-14T18:35:35+0000"
"Toyota Topped G.M. in U.S. Car Sales in 2021, a First for a Foreign Automaker","2022-01-04T15:46:55+0000"
"Toyota stops production in Japan after a possible cyberattack at a supplier.","2022-02-28T15:22:33+0000"
"G.M.’s and Toyota’s U.S. first-quarter sales fell sharply as a chip shortage persisted.","2022-04-01T15:25:18+0000"
"Toyota adds $2.5 billion to its investment in a North Carolina battery plant.","2022-08-31T17:49:55+0000"
"Toyota Makes a Change at the Top as a Toyoda Steps Aside","2023-01-26T15:59:40+0000"
"Shoichiro Toyoda, Who Helped Make Toyota a Global Force, Dies at 97","2023-02-16T07:22:53+0000"
"Toyota, a Hybrid Pioneer, Struggles to Master Electric Vehicles","2023-09-07T14:55:06+0000"
"Toyota Recalls More Than 800,000 Highlanders for a Bumper Fix","2023-10-27T18:28:31+0000"
"Toyota Recalls 1.8 Million RAV 4 S.U.V.s Over Potential Fire Risk","2023-11-02T03:00:29+0000"
