"Main_Headline","Date"
"G.M. Takes a Back Seat to Tesla as America’s Most Valued Carmaker","2017-04-11T00:57:59+0000"
"Tesla’s Rise on a Wave of Shareholder Optimism","2017-04-11T18:58:56+0000"
"Tesla’s Market Surge Has Even Fans Looking for Feet of Clay","2017-04-12T01:01:25+0000"
"Tesla, Reporting Bigger Loss, Emphasizes Gains in Production and Sales","2017-05-03T21:23:10+0000"
"G.M. and Tesla Shareholders Rebuff Dissidents’ Proposals","2017-06-06T14:06:06+0000"
"Tesla in Talks to Set Up Electric Car Factory in Shanghai","2017-06-22T18:51:08+0000"
"James Comey, Tesla, Qatar Airways: Your Morning Briefing","2017-06-22T20:13:03+0000"
"Tesla’s First Mass-Market Car, the Model 3, Hits Production This Week","2017-07-03T06:55:24+0000"
"CNN, Chris Christie, Tesla: Your Monday Briefing","2017-07-03T09:33:16+0000"
"Tesla Loses No. 1 Spot in Market Value Among U.S. Automakers","2017-07-06T13:51:54+0000"
"Tesla to Install World’s Largest Lithium-Ion Battery in Australia. Also: Reactions to North Korea.","2017-07-07T05:52:30+0000"
"Connecticut Should Be Tesla Country","2017-07-07T07:21:19+0000"
"G-20, Penn Station, Tesla: Your Friday Briefing","2017-07-07T09:32:32+0000"
"Mosul, G-20, Tesla: Your Morning Briefing","2017-07-09T19:45:05+0000"
"In Pivotal Moment, Tesla Unveils Its First Mass-Market Sedan","2017-07-29T04:10:49+0000"
"Elon Musk Reassures Investors as Tesla Ramps Up Model 3 Output","2017-08-02T21:15:01+0000"
"Why Tesla Motors Is Fueling Up on Debt","2017-08-07T18:53:15+0000"
"Tesla Boosts Car Battery Power During Irma, Raising Questions of Control","2017-09-12T00:15:22+0000"
"Tesla Self-Driving System Faulted by Safety Agency in Crash","2017-09-12T14:50:25+0000"
"Tesla Fires Hundreds of Workers","2017-10-14T03:38:39+0000"
"Tesla Plant in China May Be a First","2017-10-23T01:11:11+0000"
"Tesla’s Tiered Pricing Is a Hurdle, but a Fair One","2017-10-27T15:22:37+0000"
"Tesla’s Elon Musk Reassures Investors Over Model 3 Delays","2017-11-01T22:01:27+0000"
"Tesla’s Dangerous Sprint Into the Future","2017-11-07T07:03:40+0000"
"Tesla Unveils an Electric Rival to Semi Trucks","2017-11-17T04:29:44+0000"
"Al Franken, Tesla, ‘Justice League’: Your Friday Briefing","2017-11-17T10:28:55+0000"
"A Tesla Too Pricey? E-Bikes Offer Entry-Level Electric Transportation","2017-11-23T22:00:56+0000"
"Tesla the Car Is a Household Name. Long Ago, So Was Nikola Tesla.","2017-12-30T13:00:23+0000"
"What’s on TV Tuesday: ‘Tesla’s Death Ray’ and Near East Relief","2018-01-02T14:28:27+0000"
"Tesla Pushes Back Its Model 3 Targets Again: DealBook Briefing","2018-01-03T11:47:48+0000"
"Tesla Reports New Setback for Model 3, With Output Lagging","2018-01-04T01:45:24+0000"
"Electric Vehicle Tax Credit Survives, but G.M. and Tesla Aren’t Cheering","2018-01-11T20:46:34+0000"
"Tesla’s Elon Musk May Have Boldest Pay Plan in Corporate History","2018-01-23T08:00:24+0000"
"Tesla’s Targets for Elon Musk Would Put His Pay in Orbit","2018-01-23T23:38:59+0000"
"DealBook Briefing: Tesla’s Mass Market Hopes May Remain Elusive","2018-02-07T13:04:46+0000"
"North Korea, Tesla, Taiwan: Your Thursday Briefing","2018-02-07T19:02:52+0000"
"Tesla Model 3, Elon Musk’s Grail, Remains a Costly Pursuit","2018-02-07T22:16:58+0000"
"SpaceX and Tesla Go Into Orbit","2018-02-12T17:29:32+0000"
"Porsche Positions Itself Against Tesla, on the Road and Beside It","2018-03-06T10:19:03+0000"
"Tesla Looked Like the Future. Now Some Ask if It Has One.","2018-03-29T23:56:28+0000"
"Tesla Says Crashed Vehicle Had Been on Autopilot Before Fatal Accident","2018-03-31T04:11:15+0000"
"Fatal Tesla Crash Raises New Questions About Autopilot System","2018-03-31T20:08:35+0000"
"Elon Musk Makes Light of Tesla’s Troubles in April Fool’s Tweets","2018-04-02T00:18:52+0000"
"For Tesla, ‘Production Hell’ Looks Like the Reality of the Car Business","2018-04-03T13:34:14+0000"
"Tesla’s Manufacturing ‘Hell’ Won’t Slow Down Electric Cars","2018-04-04T01:23:43+0000"
"With Tesla in a Danger Zone, Can Model 3 Carry It to Safety?","2018-04-05T15:46:42+0000"
"Tesla to Halt Production of Model 3 Cars Temporarily","2018-04-17T03:10:23+0000"
"Tesla Factory Safety Under Scrutiny After Worker Is Injured","2018-04-20T23:14:38+0000"
"He Drove a Tesla on Autopilot From the Passenger Seat. The Court Was Not Amused.","2018-04-29T14:02:21+0000"
"Even Tesla Seems Worried It’s Consuming Too Much Cash: DealBook Briefing","2018-05-02T11:55:03+0000"
"Tesla Is Still Burning Cash, but Elon Musk Sees a Turning Point","2018-05-02T20:53:56+0000"
"Trade, Tariffs and Tesla’s Conference Call: DealBook Briefing","2018-05-03T11:24:39+0000"
"Elon Musk Rejects ‘Boring, Bonehead Questions,’ and Tesla’s Stock Slides","2018-05-03T16:25:14+0000"
"Tesla Model 3 Goes Upscale, and Base-Price Buyers Must Wait","2018-05-22T00:37:32+0000"
"Tesla Fixes Model 3 Flaw, Getting Consumer Reports to Change Review","2018-05-30T23:01:58+0000"
"For Electric Cars Without a Plug, Thank Tesla (the Scientist)","2018-05-31T18:09:37+0000"
"Proposals Challenging Musk’s Control of Tesla Fail: DealBook Briefing","2018-06-05T09:54:33+0000"
"Tesla Turns Back Rare Challenge From Shareholders","2018-06-05T20:24:05+0000"
"Elon Musk, in Search of Profit, Cuts Tesla’s Work Force","2018-06-12T19:13:52+0000"
"Tesla Is Coming to Its Financial Senses. That Has Its Own Risks.","2018-06-13T10:28:19+0000"
"Elon Musk Accuses Tesla Employee of Sabotage","2018-06-19T16:09:12+0000"
"Inside Tesla’s Audacious Push to Reinvent the Way Cars Are Made","2018-06-30T13:09:29+0000"
"Tesla Achieves a Key Weekly Goal for Producing Its Model 3","2018-07-02T15:40:19+0000"
"Tesla’s Latest Aim: Build 500,000 Cars a Year in China","2018-07-10T15:19:04+0000"
"Tesla, Pushing for Profit, Faces New Questions Over Finances","2018-07-23T22:52:09+0000"
"Tesla Reports Another Big Loss, but Sees Only Profit Ahead","2018-08-01T21:16:53+0000"
"Elon Musk Says Tesla May Go Private, and Its Stock Soars","2018-08-07T18:45:37+0000"
"Alex Jones, Tesla, Primaries: Your Tuesday Evening Briefing","2018-08-07T22:01:14+0000"
"Germany, California, Tesla: Your Wednesday Briefing","2018-08-08T04:18:08+0000"
"Ohio Special Election, Tesla, Alex Jones: Your Wednesday Briefing","2018-08-08T09:23:27+0000"
"DealBook Briefing: How on Earth Will Tesla Go Private?","2018-08-08T10:26:53+0000"
"A $70 Billion Deal for Tesla? Elon Musk Faces 2 Huge Questions","2018-08-08T12:52:45+0000"
"Did Elon Musk Violate Securities Laws With Tweet About Taking Tesla Private?","2018-08-08T14:24:35+0000"
"Chris Collins, Tesla, Trade War: Your Thursday Briefing","2018-08-08T20:21:01+0000"
"Elon Musk’s Pitch to Take Tesla Private Has Wall Street Salivating","2018-08-08T23:17:42+0000"
"DealBook Briefing: Where Is Tesla’s Money?","2018-08-09T10:31:28+0000"
"Tesla Board Surprised by Elon Musk’s Tweet on Taking Carmaker Private","2018-08-13T14:05:37+0000"
"Elon Musk’s Tweets on Tesla Started a Tizzy. Someone Should Hit the Brakes.","2018-08-13T23:59:58+0000"
"Elon Musk’s Effort to Take Tesla Private to Get Board Oversight","2018-08-14T14:50:00+0000"
"Tesla Directors, in Damage Control Mode, Want Elon Musk to Stop Tweeting","2018-08-15T00:17:37+0000"
"DealBook Briefing: Tesla’s Board Tries to Calm Its Chaos","2018-08-15T10:17:34+0000"
"A Tesla Take-Private Bid Would Be More of the Same for Silver Lake. Sort of.","2018-08-15T11:38:58+0000"
"Tesla Is Said to Be Subpoenaed by S.E.C. Over Elon Musk Tweet","2018-08-15T18:13:03+0000"
"A Question for Tesla’s Board: What Was Elon Musk’s Mental State?","2018-08-15T20:02:10+0000"
"Elon Musk Details ‘Excruciating’ Personal Toll of Tesla Turmoil","2018-08-17T03:22:11+0000"
"5 Takeaways From Elon Musk’s Interview With The Times About Tesla","2018-08-17T10:06:28+0000"
"Congress, Look at Tesla","2018-08-17T17:16:55+0000"
"Weekend at Elon’s: A Tesla Subplot With Azealia Banks","2018-08-17T22:28:31+0000"
"Investors Betting Against Tesla Made $1 Billion on Friday","2018-08-18T00:05:44+0000"
"Elon Musk’s No Good, Very Bad Year: A Tesla Timeline","2018-08-18T09:00:12+0000"
"Elon Musk’s Highs and Lows: PayPal, SpaceX, Tesla","2018-08-18T19:55:38+0000"
"Tesla Slashes Spending, and May Add to Its Troubles","2018-08-20T00:44:37+0000"
"DealBook Briefing: Tesla Supplier? Your Check May Be in the Mail","2018-08-21T10:15:23+0000"
"Elon Musk Wants to Take Tesla Private. Can He Make the Math Work? ","2018-08-23T18:15:52+0000"
"One Tesla Investor Wants It to Stay Public","2018-08-23T19:51:37+0000"
"DealBook Briefing: The Hard Math of a Tesla Take-Private","2018-08-24T10:26:55+0000"
"How the S.E.C. May Pursue a Case Against Elon Musk and Tesla","2018-08-24T11:00:04+0000"
"Tesla Will Not Go Private, Elon Musk Says, Capping Month of Turmoil","2018-08-25T03:44:51+0000"
"Why Elon Musk Reversed Course on Taking Tesla Private","2018-08-25T22:20:31+0000"
"Elon Musk and Tesla Resolved One Issue. Now for the Rest.","2018-08-27T20:47:10+0000"
"Tesla Shaken by a Departure and What Elon Musk Was Smoking","2018-09-07T14:26:10+0000"
"Tesla Needs to Build Investor Trust. The Exit of Its Accountant Won’t Help.","2018-09-09T21:42:37+0000"
"Betting Against Tesla: Short-Sellers Make Their Case","2018-09-17T07:00:06+0000"
"Justice Department Is Examining Tesla After Musk Comment","2018-09-18T17:42:24+0000"
"Tesla’s Biggest Problem Isn’t Elon Musk","2018-09-20T22:05:02+0000"
"Tesla Chief Elon Musk Is Sued by S.E.C. in Move That Could Oust Him","2018-09-27T20:25:11+0000"
"Tesla Stock Tumbles Over the S.E.C. Suing Elon Musk: What to Watch Today","2018-09-28T13:01:48+0000"
"Elon Musk’s Fans Just Took a Big Hit as Tesla Shares Tank","2018-09-28T14:16:55+0000"
"Brett Kavanaugh, Jeff Flake, Tesla: Your Friday Evening Briefing","2018-09-28T22:05:57+0000"
"Tesla’s Elon Musk Had a Deal From the S.E.C. It Fell Apart in a Morning.","2018-09-29T00:20:58+0000"
"Elon Musk Steps Down as Chairman in Deal With S.E.C. Over Tweet About Tesla","2018-09-29T21:50:32+0000"
"Elon Musk Settled With the S.E.C., but Tesla’s Troubles Aren’t Over","2018-10-01T00:05:13+0000"
"How the S.E.C. Is Trying to Push Traditional Corporate Governance Upon Tesla","2018-10-01T16:26:00+0000"
"Unraveling a Tesla Mystery: Lots (and Lots) of Parked Cars","2018-10-02T00:24:39+0000"
"Tesla Reports Progress on Model 3 Car Production","2018-10-02T13:23:45+0000"
"Elon Musk’s Ultimatum to Tesla: Fight the S.E.C., or I Quit","2018-10-02T23:10:25+0000"
"Why Tesla Could Do Better Than James Murdoch for Chairman","2018-10-11T17:23:07+0000"
"Tesla Reports a Rare Quarterly Profit, Its Biggest Ever","2018-10-24T20:34:20+0000"
"Tesla Faces a Challenger in the Home Solar Business","2018-10-28T21:23:06+0000"
"Tesla’s Future Is Not Yet Secured","2018-10-29T13:29:03+0000"
"Tesla Names a Successor to Elon Musk as Board Chief","2018-11-08T08:39:10+0000"
"What Tesla’s ‘Delivery Logistics Hell’ Is Like for Model 3 Buyers","2018-11-15T14:00:06+0000"
"Menial Tasks, Slurs and Swastikas: Many Black Workers at Tesla Say They Faced Racism","2018-11-30T10:00:18+0000"
"G.E., Tesla and Snap Are Under Accounting Investigation. Here’s What They Should Worry About.","2018-11-30T20:57:09+0000"
"Tesla Scrambles to Sell Cars Before a Tax Break Fades","2018-12-28T10:00:18+0000"
"Tesla Names Larry Ellison and Kathleen Wilson-Thompson to Its Board","2018-12-28T16:32:53+0000"
"Tesla Reports Record Output, but Cuts Prices, and Its Shares Plunge","2019-01-02T16:05:55+0000"
"Tesla to Cut 3,000 Jobs in Bid to Sell Model 3 to Mass Market","2019-01-18T11:42:43+0000"
"Tesla Profit Declines, but Musk Says Cash Position Is Strong","2019-01-30T15:38:09+0000"
"Amazon Invests in Rivian, a Tesla Rival in Electric Vehicles","2019-02-15T14:34:27+0000"
"Tesla’s Top Lawyer Is Leaving. His Tenure at the Company: Two Months.","2019-02-20T14:51:06+0000"
"S.E.C. Asks Court to Hold Tesla’s Elon Musk in Contempt for Twitter Post on Production","2019-02-26T00:01:51+0000"
"Could Elon Musk Talk Himself Into a Tesla Buyout?","2019-02-27T13:32:20+0000"
"Tesla Offers a $35,000 Model 3, as Elon Musk Long Promised","2019-02-28T22:18:09+0000"
"DealBook Briefing: Tesla’s $35,000 Car Will Cost the Company","2019-03-01T11:48:52+0000"
"Elon Musk Will Have to Contend With Tesla Short Sellers Again","2019-03-01T14:40:26+0000"
"Tesla’s Troubles Mount: Shuttered Showrooms and Sinking Shares","2019-03-06T17:09:17+0000"
"Meng Wanzhou, North Korea, Tesla: Your Thursday Briefing","2019-03-06T19:18:54+0000"
"What Will a Contempt Hearing Mean for Tesla’s Elon Musk?","2019-03-08T22:33:36+0000"
"The Week in Business: Facebook Wants to Be Your ‘Digital Living Room,’ and Tesla to Unveil the Model Y","2019-03-09T17:40:42+0000"
"Tesla Says Never Mind: It Raises Prices and Keeps Most Stores","2019-03-11T12:16:51+0000"
"Tesla Model Y, a New S.U.V., Is Unveiled Amid Mounting Challenges","2019-03-15T06:04:02+0000"
"Tesla Sales Slump as ’19 Starts Is Hinted At in State Data","2019-03-22T09:00:04+0000"
"Tesla Stock Slides After Delivery Figures Signal Weaker U.S. Demand","2019-04-04T01:09:33+0000"
"Tesla Got an Early Lead, but Luxury Electric Rivals Are Racing to Catch Up","2019-04-04T16:00:07+0000"
"Tesla’s Elon Musk and S.E.C. Have 2 Weeks to Resolve Dispute, Judge Says","2019-04-04T20:25:17+0000"
"Tesla Ends Online Sales of $35,000 Model 3, Creating New Hurdle for Buyers","2019-04-12T14:29:39+0000"
"Buying a Tesla Seems Pretty Easy. But There Are a Few Things to Know.","2019-04-12T21:13:20+0000"
"Tesla and Elon Musk Are Given Week to Reach Accord With S.E.C.","2019-04-18T23:06:44+0000"
"Tesla to Shrink Board of Directors by Four People","2019-04-20T03:42:14+0000"
"The Week in Business: Pinterest Provides I.P.O. Inspiration and Tesla Shows Off Self-Driving Cars","2019-04-20T17:05:30+0000"
"DealBook Briefing: Tesla Wants You to Focus on Its Robo-Taxis (Not Its Finances)","2019-04-22T11:01:36+0000"
"Tesla to Investigate Car That Appeared to Burst Into Flames in Shanghai","2019-04-22T12:55:14+0000"
"Elon Musk Predicts Tesla Driverless Taxi Fleet Next Year","2019-04-22T23:41:59+0000"
"Ford to Invest $500 Million in Rivian, a Tesla Rival","2019-04-24T12:00:05+0000"
"Tesla Posts Big Quarterly Loss as Its Electric-Car Sales Lag","2019-04-24T21:40:47+0000"
"‘Tesla Nation’ Review: A Documentary Celebrates Serbian-American Accomplishments","2019-04-25T11:00:01+0000"
"Elon Musk and S.E.C. Reach New Accord, Lifting Cloud Over Tesla","2019-04-26T21:40:50+0000"
"The Week in Business: Tesla’s Driverless Taxis and Uber’s I.P.O.","2019-04-27T16:51:58+0000"
"Tesla Looks to Regain Its Luster in Solar Energy by Slashing Prices","2019-04-30T07:00:06+0000"
"Tesla Seeks to Raise $2 Billion in Sale of Stock and Debt","2019-05-02T13:27:07+0000"
"DealBook Briefing: Tesla Is Raising Cash. It May Not Be Enough.","2019-05-03T10:12:53+0000"
"Can Tesla Ever Be More Than a Niche Automaker? Wall St. Increasingly Thinks No","2019-06-03T09:00:05+0000"
"Tesla, Facing Setbacks and Skeptics, Tries to Get Back on Course","2019-06-10T09:00:08+0000"
"Meet the Man Quietly Building the Tesla of Trucks, With Jeff Bezos Aboard","2019-07-02T09:00:26+0000"
"Model 3 Helps Tesla Send Quarterly Deliveries to a Record","2019-07-02T20:31:38+0000"
"Tesla Loses Less Money as Model 3 Sales Surge","2019-07-24T18:31:13+0000"
"Walmart Says Tesla Solar Panels Set Fires Atop Stores","2019-08-20T21:22:50+0000"
"Tesla’s Record Deliveries Aren’t Enough for Investors","2019-10-02T20:52:59+0000"
"A Police Tesla Nearly Ran Out of Power During a Chase. It Wasn’t the Car’s Fault.","2019-10-03T09:00:09+0000"
"Tesla Reports Profit for Quarter, Sending Shares Soaring","2019-10-23T21:21:27+0000"
"Tesla Batteries Investigated for Possible Defects","2019-11-02T01:28:00+0000"
"Tesla Is Going to Build a Factory Near Berlin","2019-11-13T10:21:46+0000"
"Tesla’s Winding Road to Berlin","2019-11-20T21:15:51+0000"
"Your Thursday Briefing: Impeachment, Prince Andrew, Tesla","2019-11-21T05:24:21+0000"
"Tesla’s Electric ‘Cybertruck’ Is Unveiled. It’s Pointy.","2019-11-21T21:04:22+0000"
"Impeachment, Israel, Tesla: Your Friday Briefing","2019-11-22T10:42:53+0000"
"Tesla’s ‘Cybertruck’","2019-11-27T08:00:01+0000"
"‘I Think This Guy Is, Like, Passed Out in His Tesla’","2019-11-27T21:06:27+0000"
"Tesla Stock Reaches Elon Musk’s Magic $420, and Then Some","2019-12-24T10:00:22+0000"
"Tesla Reports Record Output as Elon Musk Achieves Goal","2020-01-03T13:55:06+0000"
"Tesla Value Hits $100 Billion. Will Elon Musk Get a Big Bonus?","2020-01-22T20:03:46+0000"
"As Tesla Earnings Arrive, Bulls and Bears Continue to Spar","2020-01-29T08:00:08+0000"
"Tesla Posts $105 Million Profit for Quarter, Extending Rebound","2020-01-29T21:28:02+0000"
